French;English
seras;will be
bateau;boat
stupide;stupid
faim;hunger
autour;around
fond;bottom
surprise;surprise
croyez;believe
devais;had to
ligne;line
porter;to carry
imagine;imagine
colère;anger
clair;clear
seront;will be
savait;knew
balle;ball
gagné;won
or;gold
hors;out
magnifique;magnificent
risque;risk
terminé;finished
su;know
heureuse;happy
mission;assignment
jolie;pretty
parlez;speak
présent;here
sorti;released
cadeau;gift
expliquer;explain
volé;stolen
plusieurs;several
gauche;left
ferait;would do
neuf;nine
passe-t-il;does it happen
ouvre;opens
disais;said
dedans;inside
disent;say
pouvons;can
allez-y;go for it
suivre;follow
pourra;will be able to
inspecteur;inspector
réponse;answer
lumière;light
pieds;feet
pote;pal
montre;watch
pied;foot
marcher;to walk
charlie;charlie
auras;will have
envoyer;send
vraie;true
espèce;species
doivent;must
allô;hello
pareil;the same
vas-tu;are you going
soleil;sun
camp;camp
fallait;had to
coin;corner
ignore;ignore
moitié;half
you;you
selon;according to
tenir;hold
grosse;fat
vouloir;to want
michael;michael
vieille;old
devenu;became
continuer;continue
rend;makes
sortie;exit
recherche;research
arrière;back
lire;read
doucement;gently
joli;pretty
avance;advance
exact;exact
disait;said
club;club
arrivée;arrival
tue;kill
laquelle;which
poser;to set down
chaud;hot
aimé;love
david;david
fais-tu;do you do
tom;tom
professeur;teacher
quitter;to leave
loi;law
tueur;killer
donne-moi;give me
flics;cops
connaître;to know
lettre;letter
forme;shape
connaît;knows
conseil;advice
bar;bar
normal;normal
danger;hazard
dangereux;dangerous
folle;crazy
jure;sworn
tiré;pulled
essaye;try
bonnes;good
offre;offer
but;aim
froid;cold
allez-vous;are you going
prêts;loans
tranquille;calm
gamin;kid
joe;joe
classe;class
joué;plays
poste;job
con;idiot
mike;mike
attaque;attack
boîte;box
enquête;investigation
visite;visit
juge;judge
moi-même;myself
bord;edge
debout;standing
envoie;send
preuve;evidence
oublier;forget
bons;good
vivant;alive
ciel;sky
lu;read
touche;touch
aimer;to like
faites-vous;do you
télé;tv
met;puts
écouter;listen
serez;will be
ll;ll
pourtant;yet
change;exchange
triste;sad
droite;right
gueule;mouth
tombe;fall
sentir;feel
ouvrir;open
travers;through
santé;health
dossier;case
ie;ie
jeunes;young people
frank;frank
coucher;to sleep
cuisine;kitchen
monte;mounted
pouvez-vous;can you
